ods_code,name,alt_names,type,region,ics,correspondent,url
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Robert Jones and Agnes Hunt Orthopaedic Hospital;Robert Jones Agnes Hunt;RJAH;Oswestry,Acute Specialist Trusts,Midlands,"Shropshire, Telford and Wrekin",Caitlin,https://www.rjah.nhs.uk/about-us/board-of-directors/board-of-directors-meeting-dates
RL4,The Royal Wolverhampton NHS Trust,Royal Wolverhampton;RWT;New Cross Hospital,Acute and Acute & Community Trusts,Midlands,Black Country,Caitlin,https://www.royalwolverhampton.nhs.uk/about-us/our-board/
RLQ,Wye Valley NHS Trust,Wye Valley;Hereford Hospital,Acute and Acute & Community Trusts,Midlands,Herefordshire and Worcestershire,Caitlin,https://www.wyevalley.nhs.uk/about-us/the-trust-board.aspx
RLT,George Eliot Hospital NHS Trust,George Eliot Hospital;GEH,Acute and Acute & Community Trusts,Midlands,Coventry and Warwickshire,Caitlin,https://www.geh.nhs.uk/about-us/trust-board/public-board-papers
RLY,North Staffordshire Combined Healthcare NHS Trust,North Staffordshire Combined Healthcare,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,Staffordshire and Stoke-on-Trent,Caitlin,https://www.combined.nhs.uk/about/our-board/board-meetings/
RNA,The Dudley Group NHS Foundation Trust,Dudley Group;Russells Hall Hospital,Acute and Acute & Community Trusts,Midlands,Black Country,Caitlin,https://www.dgft.nhs.uk/about-us/our-board/
RQ3,Birmingham Women's and Children's NHS Foundation Trust,Birmingham Women's and Children's;Birmingham Children's Hospital NHS Foundation Trust;Birmingham Children's Hospital;BCH,Acute and Acute & Community Trusts,Midlands,Birmingham and Solihull,Caitlin,https://www.bwc.nhs.uk/board-of-directors/
RRE,Midlands Partnership University NHS Foundation Trust,Midlands Partnership University;MPFT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,Staffordshire and Stoke-on-Trent,Caitlin,https://www.mpft.nhs.uk/about-us/board-papers/
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,Royal Orthopaedic Hospital,Acute Specialist Trusts,Midlands,Birmingham and Solihull,Caitlin,https://roh.nhs.uk/about-us/corporate-information/statutory-documents
RRK,University Hospitals Birmingham NHS Foundation Trust,University Hospitals Birmingham;UHB,Acute and Acute & Community Trusts,Midlands,Birmingham and Solihull,Caitlin,https://www.uhb.nhs.uk/about-us/board-papers/
RWP,Worcestershire Acute Hospitals NHS Trust,Worcestershire Acute Hospitals;WAHT,Acute and Acute & Community Trusts,Midlands,Herefordshire and Worcestershire,Caitlin,https://www.worcsacute.nhs.uk/about-us/trust-board/
RXK,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell and West Birmingham Hospitals,Acute and Acute & Community Trusts,Midlands,Black Country,Caitlin,https://www.swbh.nhs.uk/about-us/trust-board/
RXT,Birmingham and Solihull Mental Health NHS Foundation Trust,Birmingham and Solihull Mental Health,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,Birmingham and Solihull,Caitlin,https://www.bsmhft.nhs.uk/about-us/corporate-documents/trust-board-papers/
RXW,The Shrewsbury and Telford Hospital NHS Trust,Shrewsbury and Telford Hospital;Shrewsbury Telford Hospital;SaTH,Acute and Acute & Community Trusts,Midlands,"Shropshire, Telford and Wrekin",Caitlin,https://www.sath.nhs.uk/about-us/board-papers/
RYG,Coventry and Warwickshire Partnership NHS Trust,Coventry and Warwickshire Partnership,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,Coventry and Warwickshire,Caitlin,https://www.covwarkpt.nhs.uk/trust-board-dates-and-papers
RYW,Birmingham Community Healthcare NHS Foundation Trust,Birmingham Community Healthcare,Community Trusts,Midlands,Birmingham and Solihull,Caitlin,https://www.bhamcommunity.nhs.uk/our-board/
TAJ,Black Country Healthcare NHS Foundation Trust,Black Country Healthcare,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,Black Country,Caitlin,https://www.blackcountryhealthcare.nhs.uk/about-us/our-board-of-directors
RAX,Kingston Hospital NHS Foundation Trust,Kingston Hospital,Acute and Acute & Community Trusts,London,South West London,Ella,https://www.kingstonhospital.nhs.uk/about-us/board-papers/
RJ1,Guy's and St Thomas' NHS Foundation Trust,Guy's and St Thomas';Guys and St Thomas;GSTT;Guy's and St Thomas's,Acute and Acute & Community Trusts,London,South East London,Ella,https://www.guysandstthomas.nhs.uk/about-us/our-board/agenda-and-papers
